step,time,KE,enstrophy,palinstrophy,div_L2,vort_norm
62,0.017714,4.822116e-01,3.763345e+01,9.535561e+04,5.154698e-14,1.000489e+00
124,0.035429,4.822115e-01,3.763300e+01,9.575444e+04,5.305554e-14,1.001738e+00
186,0.053143,4.822114e-01,3.763241e+01,9.639580e+04,5.307911e-14,1.003306e+00
248,0.070857,4.822114e-01,3.763163e+01,9.728359e+04,5.378880e-14,1.004921e+00
310,0.088571,4.822113e-01,3.763058e+01,9.843464e+04,5.457132e-14,1.006698e+00
372,0.106286,4.822112e-01,3.762918e+01,9.985756e+04,5.328381e-14,1.009194e+00
434,0.124000,4.822111e-01,3.762732e+01,1.015606e+05,5.390821e-14,1.013489e+00
496,0.141714,4.822110e-01,3.762483e+01,1.035629e+05,5.421792e-14,1.021368e+00
558,0.159429,4.822109e-01,3.762151e+01,1.059357e+05,5.487472e-14,1.035297e+00
620,0.177143,4.822107e-01,3.761709e+01,1.087203e+05,5.581446e-14,1.057858e+00
682,0.194857,4.822105e-01,3.761127e+01,1.116340e+05,5.677979e-14,1.090611e+00
744,0.212571,4.822102e-01,3.760380e+01,1.142501e+05,5.607744e-14,1.133248e+00
806,0.230286,4.822098e-01,3.759446e+01,1.169034e+05,5.569617e-14,1.184807e+00
868,0.248000,4.822092e-01,3.758279e+01,1.209211e+05,5.665031e-14,1.246530e+00
930,0.265714,4.822083e-01,3.756820e+01,1.266855e+05,5.657269e-14,1.318698e+00
992,0.283429,4.822074e-01,3.755026e+01,1.345825e+05,5.842248e-14,1.392932e+00
1054,0.301143,4.822061e-01,3.752838e+01,1.462863e+05,5.787422e-14,1.470017e+00
1116,0.318857,4.822045e-01,3.750191e+01,1.621457e+05,5.758632e-14,1.550749e+00
1178,0.336571,4.822027e-01,3.747007e+01,1.824058e+05,5.806045e-14,1.630764e+00
1240,0.354286,4.822007e-01,3.743217e+01,2.067982e+05,5.977710e-14,1.718221e+00
1302,0.372000,4.821984e-01,3.738738e+01,2.339903e+05,5.998420e-14,1.823645e+00
1364,0.389714,4.821957e-01,3.733545e+01,2.618397e+05,6.060780e-14,1.926498e+00
