step,time,KE,enstrophy,palinstrophy,div_L2,vort_norm
125,0.017857142857142825,0.4822115793799783,37.63344920286583,95357.80891245608,5.1136888573419914e-14,1.0004966703607505
250,0.03571428571428575,0.48221150991113015,37.632993478512034,95762.89853380802,5.389777442305409e-14,1.0017616080697709
375,0.05357142857142899,0.482211441182357,37.63239489730639,96414.3272760888,5.289993515441526e-14,1.0033452032700674
500,0.0714285714285718,0.48221137235402134,37.631596220532785,97316.58458048884,5.424723596626783e-14,1.0049740951886619
625,0.08928571428571418,0.4822113013667935,37.63053002159951,98486.8071852257,5.392434584415126e-14,1.0067799529486297
750,0.10714285714285655,0.4822112247956235,37.62910537210329,99933.5846040523,5.417615877063835e-14,1.0093490115650736
875,0.12499999999999893,0.4822111375707195,37.62719911368261,101665.56918810829,5.458567607800056e-14,1.013818502020075
1000,0.14285714285714132,0.48221103220322037,37.62464734336371,103704.07433371095,5.459203222708237e-14,1.0220549284508964
1125,0.1607142857142837,0.48221089692815283,37.621232977244894,106125.52262967199,5.501026886431211e-14,1.0366170530678789
1250,0.17857142857142608,0.4822107157105227,37.61667540750152,108958.18102668457,5.5818841290843634e-14,1.0601146555535592
1375,0.19642857142856845,0.4822104731954972,37.610675580412355,111882.79104414517,5.517763263827127e-14,1.0940128168608212
1500,0.21428571428571083,0.48221015209848056,37.602987922523994,114489.61025991978,5.578542132640499e-14,1.1378531117950093
1625,0.2321428571428532,0.48220970988433814,37.5933536278745,117239.03045377624,5.710771652187176e-14,1.1907558710541541
1750,0.2499999999999956,0.48220907773465893,37.58129679969389,121495.12028792355,5.5754652611889236e-14,1.2542321188287076
1875,0.2678571428571414,0.48220823522443085,37.56622218053653,127491.6440991597,5.608168641046965e-14,1.3277748324430492
2000,0.28571428571428725,0.482207207035381,37.54767661815254,135868.16731316934,5.808782101984874e-14,1.4024301046582055
2125,0.3035714285714331,0.48220590935274565,37.52504917722473,148189.8860827963,5.83746410722906e-14,1.4813387189286193
