step,time,KE,enstrophy,palinstrophy,div_L2,vort_norm
37,0.021143,4.822116e-01,3.763337e+01,9.541312e+04,5.350407e-14,1.000684e+00
74,0.042286,4.822115e-01,3.763279e+01,9.597432e+04,5.300648e-14,1.002329e+00
111,0.063429,4.822114e-01,3.763198e+01,9.688006e+04,5.368596e-14,1.004240e+00
148,0.084571,4.822113e-01,3.763084e+01,9.815098e+04,5.358980e-14,1.006261e+00
185,0.105714,4.822112e-01,3.762923e+01,9.980704e+04,5.380877e-14,1.009092e+00
222,0.126857,4.822111e-01,3.762696e+01,1.018618e+05,5.355234e-14,1.014460e+00
259,0.148000,4.822110e-01,3.762376e+01,1.043559e+05,5.432554e-14,1.025477e+00
296,0.169143,4.822108e-01,3.761924e+01,1.074180e+05,5.589326e-14,1.046460e+00
333,0.190286,4.822106e-01,3.761291e+01,1.108960e+05,5.556505e-14,1.081165e+00
370,0.211429,4.822102e-01,3.760433e+01,1.140886e+05,5.594719e-14,1.130220e+00
407,0.232571,4.822097e-01,3.759309e+01,1.173158e+05,5.612019e-14,1.192141e+00
444,0.253714,4.822089e-01,3.757842e+01,1.226124e+05,5.658075e-14,1.268899e+00
481,0.274857,4.822079e-01,3.755938e+01,1.303617e+05,5.667273e-14,1.357297e+00
518,0.296000,4.822065e-01,3.753517e+01,1.424886e+05,5.804850e-14,1.446584e+00
555,0.317143,4.822047e-01,3.750467e+01,1.603848e+05,5.780492e-14,1.543352e+00
592,0.338286,4.822025e-01,3.746665e+01,1.845314e+05,5.792943e-14,1.639463e+00
629,0.359429,4.822001e-01,3.741984e+01,2.146097e+05,5.964665e-14,1.744259e+00
666,0.380571,4.821971e-01,3.736307e+01,2.473158e+05,5.955170e-14,1.878448e+00
703,0.401714,4.821938e-01,3.729604e+01,2.811893e+05,6.073460e-14,1.983582e+00
740,0.422857,4.821905e-01,3.721887e+01,3.151190e+05,6.191926e-14,2.051669e+00
777,0.444000,4.821868e-01,3.713201e+01,3.480238e+05,6.227573e-14,2.088177e+00
814,0.465143,4.821830e-01,3.703607e+01,3.791334e+05,6.128351e-14,2.072332e+00
851,0.486286,4.821796e-01,3.693247e+01,4.078880e+05,6.323843e-14,2.051079e+00
888,0.507429,4.821761e-01,3.682194e+01,4.293249e+05,6.138482e-14,2.010294e+00
925,0.528571,4.821726e-01,3.670670e+01,4.440428e+05,6.167865e-14,1.997259e+00
962,0.549714,4.821692e-01,3.658863e+01,4.508235e+05,6.319815e-14,1.970695e+00
999,0.570857,4.821661e-01,3.646978e+01,4.510291e+05,6.131074e-14,1.919084e+00
