step,time,KE,enstrophy,palinstrophy,div_L2,vort_norm
500,0.01785714285714295,0.48221095233370964,37.63007648349811,95333.47564659163,5.1689890773913833e-14,1.0004721587416918
1000,0.03571428571428533,0.4822102708494222,37.62564321529743,95682.69594936822,5.161510362953765e-14,1.0015866974946817
1500,0.05357142857142771,0.48220960855754613,37.620011605167086,96208.05778603729,5.238522011800311e-14,1.0028435621810132
2000,0.07142857142857181,0.48220896040963096,37.61283595393005,96867.60358217209,5.2475630696159417e-14,1.0040049758361
2500,0.08928571428571766,0.48220830942205306,37.60377846848231,97623.97828701572,5.274842903228567e-14,1.0052861072722534
3000,0.1071428571428635,0.48220762458652155,37.59242674353612,98404.31180476212,5.333246240682629e-14,1.0073449447001486
3500,0.12500000000000935,0.48220685841069666,37.57832681077178,99084.53937782948,5.2802238327119464e-14,1.0112786098128805
4000,0.14285714285714826,0.4822059432070639,37.56102675695447,99522.69601278211,5.413441571582224e-14,1.01863090800551
4500,0.16071428571428717,0.4822047861045585,37.540020244939065,99620.97254638035,5.416146777428645e-14,1.0312364512917516
5000,0.17857142857142608,0.48220326289536297,37.51455083640934,99380.30969875619,5.416728845651037e-14,1.0508556305467862
5500,0.19642857142856499,0.48220121052892584,37.48328180996178,98952.37888986905,5.524060435662771e-14,1.07882716134043
6000,0.2142857142857039,0.48219841824324694,37.44389110117928,98656.40301953333,5.4712126338373666e-14,1.1160434546780684
6500,0.2321428571428428,0.48219462130494123,37.392871647184535,98880.10185972466,5.5502291736098216e-14,1.1633018708456255
7000,0.2499999999999817,0.48218950950548717,37.32589230031997,99910.43836629023,5.579723714716728e-14,1.2213107316181278
7500,0.26785714285713447,0.48218276139435834,37.23875565874912,101851.45250171811,5.631799400143699e-14,1.2890112437443944
8000,0.28571428571428725,0.4821740843703191,37.12837057249894,104764.69298142742,5.672483323632562e-14,1.3619855265236094
8500,0.30357142857144004,0.48216322678280804,36.9931250046238,108686.85998301448,5.801263963006569e-14,1.4367954320432104
9000,0.3214285714285928,0.4821500103984505,36.832876865557445,113445.73840802633,5.686655862175576e-14,1.5130904855565537
9500,0.3392857142857456,0.4821344315997428,36.64872153631469,118641.41431798658,5.630622172384577e-14,1.590624759957266
10000,0.3571428571428984,0.4821166320939981,36.44265708635481,123721.58060019065,5.914791221627247e-14,1.6712623833340094
10500,0.3750000000000512,0.4820966915297983,36.217316939407866,128125.59567220784,5.836985601443883e-14,1.7555685350290613
11000,0.39285714285720397,0.4820748093881023,35.97578140617803,131559.34015150706,5.942377783474e-14,1.8436476437424856
11500,0.41071428571435675,0.4820514445001082,35.72134918409376,134028.2607354776,5.906808916350226e-14,1.9228246937857936
12000,0.42857142857150954,0.4820270346551111,35.457454667467246,135628.5859779881,6.123789738731569e-14,1.982753167635285
12500,0.4464285714286623,0.4820019304162314,35.18783361349455,136400.2961202394,6.130392733076397e-14,2.0183606979240016
13000,0.4642857142858151,0.48197661709318573,34.91626840198985,136226.70423171105,6.244331948520107e-14,2.033914786077821
13500,0.4821428571429679,0.4819516374321492,34.64713324059353,134709.54839164054,6.17339444685202e-14,2.0284028801599217
14000,0.5000000000001207,0.4819273676957212,34.384775686588874,131470.8628210294,6.191155960688276e-14,2.0165121555978214
14500,0.5178571428572457,0.4819040428950989,34.13411463524793,126178.83567123114,6.272669335793069e-14,1.9948220572017088
15000,0.5357142857143707,0.4818818135432596,33.899785315750115,119087.86373253974,6.192593491556495e-14,1.970065857611151
15500,0.5535714285714958,0.481860761085674,33.685426615607824,110599.62098682548,6.177336962128324e-14,1.9436725106558197
16000,0.5714285714286208,0.4818409128512456,33.49355879804455,101521.87942381363,6.207952241946997e-14,1.9122069162109878
16500,0.5892857142857458,0.48182223393055534,33.32492687442713,92498.45529914481,6.014202226052167e-14,1.8835877076518506
17000,0.6071428571428709,0.48180463888553415,33.17848066261742,84140.17701328936,6.045082818061372e-14,1.858943960507652
17500,0.6249999999999959,0.48178801528589604,33.05201288647569,76694.01371150905,6.079059260234061e-14,1.8394596035846205
18000,0.6428571428571209,0.4817722285183173,32.94295326740001,70066.14689811743,6.046752025301358e-14,1.8260203435205034
18500,0.660714285714246,0.4817571334699088,32.849144891461734,64126.16369693032,6.115035485614324e-14,1.814341479599368
19000,0.678571428571371,0.48174258532266984,32.76873646028909,58902.83904473656,6.091278639337604e-14,1.805275227529375
19500,0.696428571428496,0.48172844432596407,32.69949713068966,54678.9591300872,6.031939182214154e-14,1.7990439023230234
20000,0.714285714285621,0.4817145916512652,32.63860303054103,51728.45902070857,5.960398236472334e-14,1.7943984972037474
20500,0.7321428571427461,0.4817009393846892,32.58324086656227,49907.41694613355,6.009328104456274e-14,1.7914370877740666
21000,0.7499999999998711,0.48168741691851935,32.53173085549908,48484.52755491722,6.027754305403429e-14,1.7904399158184199
21500,0.7678571428569961,0.4816739455428185,32.4843079466133,46642.77036324858,6.017541312863753e-14,1.7923833909215323
22000,0.7857142857141212,0.481660416668628,32.442274745628886,44227.923152123825,6.112736559346531e-14,1.798975677017494
22500,0.8035714285712462,0.48164666891883945,32.40626895187601,41717.143656135646,6.210408938059988e-14,1.811491481290193
23000,0.8214285714283712,0.48163246770979407,32.37546989114699,39543.636718388865,6.150752807627811e-14,1.8325041667136381
23500,0.8392857142854963,0.4816174983464051,32.347943062231174,37775.02020063205,6.103211090079603e-14,1.867321878027494
24000,0.8571428571426213,0.4816013890472601,32.321110411035235,36317.890488792575,6.157669480573728e-14,1.9213219607619774
