step,time,KE,enstrophy,palinstrophy,div_L2,vort_norm
500,0.01785714285714295,0.4807710319347481,50.571994674118294,116887.91178536494,4.39201708184972e-15,0.9999780984456491
1000,0.03571428571428533,0.4807705028143599,50.556957144510704,116845.45424377383,3.8276213745021e-15,0.9999613366277756
1500,0.05357142857142771,0.48076946332673326,50.53660395987848,116764.61716802091,4.104030514101099e-15,0.999982498315149
2000,0.07142857142857181,0.48076868843649057,50.51713025758994,116649.53456609472,4.0705581635090394e-15,1.000071220163506
2500,0.08928571428571766,0.48076887337253554,50.50421420866125,116533.8901401598,4.273047274637426e-15,1.000246561076826
3000,0.1071428571428635,0.4807705031950391,50.50188911294234,116469.4236142651,4.29152905665744e-15,1.0005584624169541
3500,0.12500000000000935,0.48077388317645386,50.51216868147868,116485.71681590134,4.245498201003087e-15,1.0010678844529548
4000,0.14285714285714826,0.4807792135426006,50.53561036166994,116575.38031559726,4.333198880662815e-15,1.001759137114401
4500,0.16071428571428717,0.4807866140443706,50.5724414456371,116724.8088359895,4.629981899297082e-15,1.0026548949334972
5000,0.17857142857142608,0.48079618637343446,50.62336633022117,116936.69859667198,4.360116257416836e-15,1.0037756175094166
5500,0.19642857142856499,0.48080811982093963,50.689610869962195,117215.32027614285,4.387053333165578e-15,1.0051442235561014
6000,0.2142857142857039,0.48082265577993777,50.772429512794574,117554.10216249104,4.684729170871738e-15,1.006799930268781
6500,0.2321428571428428,0.48083991808279025,50.87248475751276,117943.86934369287,4.261222337963249e-15,1.008810726458676
7000,0.2499999999999817,0.4808598496123243,50.98967393732198,118378.508754215,4.483020997547533e-15,1.0112769149205323
7500,0.26785714285713447,0.4808823442156886,51.12410005532317,118860.59363461405,4.422805418874755e-15,1.01433654425326
8000,0.28571428571428725,0.48090750385632874,51.27810950036588,119415.76012918015,4.94312494858226e-15,1.018184861693758
8500,0.30357142857144004,0.4809359460475344,51.458112505171265,120091.23269787003,4.8341518854835105e-15,1.023099640341659
9000,0.3214285714285928,0.480968981151403,51.67494905316332,120936.37623766033,4.605865571819838e-15,1.0294566056793628
9500,0.3392857142857456,0.4810084976316486,51.942894806058746,122001.13994608747,4.612212998850364e-15,1.037734591631575
10000,0.3571428571428984,0.4810566826341479,52.27821499467422,123352.05618402569,4.796020120217244e-15,1.048521705310367
10500,0.3750000000000512,0.4811158242342836,52.69790378615781,125067.67006817955,4.620612011198773e-15,1.0625310861738717
11000,0.39285714285720397,0.4811882577082583,53.218931171297825,127212.0557659341,4.480176491580359e-15,1.080631451836028
11500,0.41071428571435675,0.4812763676147961,53.85813789162588,129822.96963272545,4.950724908874007e-15,1.1038946428241674
12000,0.42857142857150954,0.4813825736556486,54.63242853302711,132924.88013821637,5.0275385037321324e-15,1.1336559998077853
12500,0.4464285714286623,0.4815092917625028,55.55866644635154,136542.21949091123,5.227778913864009e-15,1.1715868109510301
13000,0.4642857142858151,0.48165883253008973,56.65296167934613,140700.80014324412,5.2280747168355355e-15,1.2197930930036431
13500,0.4821428571429679,0.48183311040692933,57.92900441734299,145424.29847980605,5.0155333609974285e-15,1.2809561451087388
14000,0.5000000000001207,0.4820330901941509,59.394787819169785,150718.29533797805,5.103820506296707e-15,1.358508124741001
14500,0.5178571428572457,0.482258046435618,61.04772676357978,156535.1702185331,5.6630678742991865e-15,1.4568132370755917
15000,0.5357142857143707,0.48250476475336146,62.86962257501889,162747.9025696201,5.562170343547497e-15,1.581308292599001
15500,0.5535714285714958,0.48276688018046593,64.82348397272645,169157.5535507744,5.330149879592045e-15,1.7385103650465763
16000,0.5714285714286208,0.48303465743064344,66.85351509478585,175516.6762310551,5.965550130018467e-15,1.9356834077020066
16500,0.5892857142857458,0.4832954220670727,68.88878071931677,181555.57677952026,5.753578302578507e-15,2.17975294881504
17000,0.6071428571428709,0.48353464531222884,70.85061225304351,187033.73415417777,5.971231935592468e-15,2.290745650860614
17500,0.6249999999999959,0.48373766411587127,72.66313128231795,191818.99258993432,7.1002267118888245e-15,2.3184289669699094
18000,0.6428571428571209,0.4838919769558231,74.26510585672666,195951.57573745082,5.998537269533195e-15,2.332706253974059
18500,0.660714285714246,0.4839897320786975,75.62019817580466,199652.5212431381,5.7623894930985686e-15,2.3307281914747673
19000,0.678571428571371,0.4840297147803586,76.72221812007234,203264.66942583048,5.596330196536092e-15,2.3113990429508964
19500,0.696428571428496,0.4840181471313813,77.59287507545963,207132.96383623563,6.210669574469473e-15,2.2757698994869804
20000,0.714285714285621,0.48396784818540783,78.27181857150828,211460.2042295967,5.992530877393864e-15,2.2268396596606865
20500,0.7321428571427461,0.4838957184608613,78.80175577875625,216205.55095179818,5.84671551937185e-15,2.168813313617863
21000,0.7499999999998711,0.4838191059866288,79.21372469384006,221078.64250347542,6.105491126901584e-15,2.106148567728506
21500,0.7678571428569961,0.48375209573746214,79.51783791258086,225626.57284050534,6.4498235523925375e-15,2.0427877514107835
22000,0.7857142857141212,0.4837028533831816,79.70284383786586,229366.45088169829,6.468275694071833e-15,1.9817967862344679
22500,0.8035714285712462,0.4836728059100263,79.7446352764951,231912.93288707625,5.690768554051882e-15,1.9253843361705203
23000,0.8214285714283712,0.4836577102675237,79.62022250522045,233075.71944650903,5.958169775963203e-15,1.8751225397884497
23500,0.8392857142854963,0.48364987007508964,79.32092755152611,232921.6755836252,5.691932573025611e-15,1.8321829509711571
24000,0.8571428571426213,0.48364055441704557,78.85915918202876,231788.86773608415,5.697871935737586e-15,1.7974872386513965
24500,0.8749999999997463,0.4836222630963881,78.26783173865336,230225.50289114093,5.877320710239897e-15,1.771779152305354
25000,0.8928571428568713,0.4835910811506531,77.59613847538063,228841.46840373866,5.848975504904071e-15,1.7556923071107011
25500,0.9107142857139964,0.48354900245219246,76.90505806343879,228108.93805449025,5.5394393533751225e-15,1.7498824907616433
26000,0.9285714285711214,0.4835050813559436,76.26177305081387,228196.77168332503,6.254222589489924e-15,1.7552246586043483
26500,0.9464285714282464,0.48347408154268473,75.73021385086281,228924.1606436752,6.094194616765186e-15,1.7729950242499561
27000,0.9642857142853715,0.4834726354249117,75.35842274525962,229854.13214719598,5.918545004455654e-15,1.804920062222083
27500,0.9821428571424965,0.4835146179160591,75.16844925059482,230462.8602258828,5.805851530948668e-15,1.8530196579409535
28000,0.9999999999996215,0.4836078123526124,75.15485648894847,230298.56815267552,6.018749619220231e-15,1.9193189752381463
28500,1.017857142856802,0.4837527989387226,75.29290410303655,229104.1029331268,5.923213977641892e-15,2.0056736576845937
29000,1.0357142857139825,0.48394366104592423,75.55220700334134,226929.25765460622,5.848646455019945e-15,2.088714623936266
29500,1.053571428571163,0.4841697260777606,75.91018297630264,224213.50270960585,6.1147441905930456e-15,2.2094073816590556
30000,1.0714285714283436,0.4844177616816617,76.36056103654565,221739.0079841375,5.98625691188639e-15,2.3934450292481873
30500,1.0892857142855241,0.48467397657605804,76.9126835386873,220383.44584543316,6.340106845833153e-15,2.601498864266733
31000,1.1071428571427047,0.4849251472953904,77.57868560254497,220747.74977925146,6.2715055577805454e-15,2.5658547569574823
31500,1.1249999999998852,0.4851590233665015,78.35263786196109,222847.6037885761,6.2424380657924424e-15,2.4046330254129744
32000,1.1428571428570657,0.48536540195149336,79.19826308943249,226055.05348047,6.361783920359351e-15,2.2836480914683612
32500,1.1607142857142463,0.48553929925217976,80.06881087031158,229413.27919386057,6.8582376589238056e-15,2.2023059849053994
33000,1.1785714285714268,0.4856856767658776,80.96677468623807,232306.64043971006,6.931874476118696e-15,2.1651142260183325
33500,1.1964285714286074,0.48582247034301906,82.00795532239937,235115.16584863488,6.703230024750941e-15,2.177295346614463
34000,1.214285714285788,0.48597729814367063,83.41680008438644,239160.03341544134,6.920626439357917e-15,2.263779371202315
34500,1.2321428571429685,0.4861754150755631,85.40809874026803,245653.2494314068,6.922501284174801e-15,2.387783365032053
35000,1.250000000000149,0.48642384015146706,88.01562388476131,254487.45957810132,7.0601812856537685e-15,2.524675116203141
35500,1.2678571428573295,0.4867037149352436,91.01088355704739,264148.38963632507,7.28559143069605e-15,2.6489209060483527
36000,1.28571428571451,0.4869792144297035,93.99742373078024,272814.9967615227,7.18266150998943e-15,2.7525606446381112
36500,1.3035714285716906,0.4872172984256122,96.60984310157356,279360.14659388794,6.85196383584084e-15,2.8797611070146147
37000,1.3214285714288712,0.48740234848317,98.65684172693153,283444.62608552235,6.879037245231977e-15,3.064423350718408
37500,1.3392857142860517,0.4875351256029968,100.11606076152879,285167.16670924576,7.468702712381767e-15,3.3324980419144006
38000,1.3571428571432322,0.4876219938228553,101.05287490825972,284963.10591272125,6.77508838184529e-15,3.160485984830904
38500,1.3750000000004128,0.48766732413093644,101.59481044051881,283904.14987730706,7.891927288028264e-15,2.791984274170931
39000,1.3928571428575933,0.4876719966057114,101.95058438973766,283907.74191432586,7.578976438049206e-15,2.5334760706022386
39500,1.4107142857147739,0.4876333913861198,102.35780387665574,286974.21942614246,7.49883455544114e-15,2.3850332724192445
40000,1.4285714285719544,0.4875480640231265,102.9684678205378,293557.8505132148,7.45860824382796e-15,2.3295511226492867
40500,1.446428571429135,0.4874197244341004,103.81479530802963,302184.9440474284,8.48713344902315e-15,2.3620422539519232
41000,1.4642857142863155,0.48726315454055175,104.88256838277172,311291.72074971104,7.501687453045122e-15,2.4744892338998974
41500,1.482142857143496,0.4870962394328411,106.15897267450646,320512.3461560877,7.587981948849974e-15,2.6447483566423693
42000,1.5000000000006766,0.4869320507220998,107.61186608840266,329732.96413288557,7.624214789028713e-15,2.821092321186538
42500,1.5178571428578571,0.4867813532665068,109.17422255126066,338091.3044735391,7.187270557880706e-15,2.9243974407889177
43000,1.5357142857150377,0.4866556110946498,110.7841425074186,345167.06178179744,7.74172579693558e-15,2.702060976404451
43500,1.5535714285722182,0.48655819417344826,112.44502514939586,352796.64227453934,6.8511612030298345e-15,2.5076856525972464
44000,1.5714285714293987,0.48647817561282314,114.20683601174257,363376.460404709,7.482805924799005e-15,2.3732172930568223
44500,1.5892857142865793,0.486412142132226,116.10870767884248,376516.48233544244,6.6388384439073305e-15,2.29813733821805
45000,1.6071428571437598,0.48638184052483613,118.15042665724641,390069.71494108485,6.873177077605789e-15,2.296862922339441
45500,1.6250000000009404,0.486408256907526,120.25724311299712,403128.71735516464,6.968038531180977e-15,2.332673355367878
46000,1.642857142858121,0.4864931260055454,122.30085042255575,414408.74348161137,6.2519983656095955e-15,2.3807306118693394
46500,1.6607142857153014,0.48662777659739753,124.15571371245771,419945.0975356239,7.011497580309295e-15,2.4330619963256788
47000,1.678571428572482,0.4867792244385724,125.71751464396381,418429.08089234855,6.8132429449455565e-15,2.505208245900384
47500,1.6964285714296625,0.4869039081502667,126.99545025725253,416422.37256670196,7.132988221358027e-15,2.573436086562187
48000,1.714285714286843,0.4870231906889417,128.219829408027,420530.0513925033,6.5100777606489445e-15,2.607286224436686
48500,1.7321428571440236,0.4872165430554246,129.755559047001,428823.81044116616,6.679749090221465e-15,2.581673687855891
49000,1.7500000000012041,0.48750205984119493,131.83978709833787,437265.61168704834,6.6895595669190444e-15,2.487573579672476
49500,1.7678571428583847,0.487815959790902,134.43007946111584,446851.444827059,6.567706607044446e-15,2.3431470713967824
50000,1.7857142857155652,0.48812709949246025,137.35439088623048,459095.6946266344,6.281332241859098e-15,2.1886153544249014
50500,1.8035714285727458,0.488450771261394,140.4445076460164,473131.51335075445,7.0768893327665185e-15,2.0597620968100503
51000,1.8214285714299263,0.4887480454107465,143.44235645738667,487730.34468787594,6.495991640736978e-15,1.971973915322608
51500,1.8392857142871069,0.4889361902034219,146.03675635996328,499262.5290122699,6.994515852819376e-15,1.9209841262011802
52000,1.8571428571442874,0.48899639022104724,148.10997575332777,503819.767503115,6.64840968048173e-15,1.8991356098025425
52500,1.875000000001468,0.48901054837714647,149.76344765840577,505468.23166881455,7.0244881393133575e-15,1.8811648296244763
53000,1.8928571428586485,0.48910776511278986,151.04740720867636,510762.0835685035,7.155639558793996e-15,1.860025249021465
53500,1.910714285715829,0.4893598857686748,151.86848673812568,514395.3850821711,7.0869609343870836e-15,1.8374352889939067
54000,1.9285714285730096,0.4897015064725958,152.2865367260336,508494.21030055144,7.254494606926214e-15,1.8172511962819546
54500,1.94642857143019,0.4900175706864799,152.76254112632458,502520.4100301882,6.9473051336539625e-15,1.8141006257065215
55000,1.9642857142873706,0.4903184687361918,153.7880338504217,509323.22890808614,7.471326132516553e-15,1.843538541040371
55500,1.9821428571445512,0.4906909543814584,155.31608690669884,522375.5521093269,7.609344125176196e-15,1.9073538628583813
56000,2.0000000000017315,0.49110344750558604,156.95195940726887,529579.0354413867,7.698861639496194e-15,2.0196840220779575
56500,2.017857142858801,0.4914176982859296,158.4255184023063,531269.2676809367,7.533362001112382e-15,2.2175679510647375
57000,2.0357142857158705,0.4915544880326996,159.57615280932492,531563.2734301445,7.881470935241773e-15,2.4808138646237023
57500,2.05357142857294,0.49157011447356,160.26007919107545,528019.3035395439,8.064221609315892e-15,2.656199626192263
58000,2.0714285714300096,0.491549699322989,160.40792626154115,516638.92207601696,7.441839027646173e-15,2.785835658737672
58500,2.089285714287079,0.4914533751804103,160.13030142007892,501887.38463541435,7.488068879068659e-15,2.936501114421731
59000,2.1071428571441486,0.4911856764311576,159.7517902428567,494431.51860369253,7.530813046456281e-15,3.077589616490713
59500,2.125000000001218,0.49079628860721997,159.62996868333127,500020.0459199208,7.167306343666155e-15,3.188799012035632
60000,2.1428571428582877,0.4904951921545133,160.01762524495322,512276.17438145686,7.131811673009645e-15,3.1706337538051326
60500,2.160714285715357,0.49043675079027715,160.975886661336,518242.77959818067,7.11888313051922e-15,3.068082152503847
61000,2.1785714285724267,0.49050545087085373,162.245877809141,521012.6819220659,8.438669921474889e-15,2.738613318434298
61500,2.196428571429496,0.4905152434571864,163.43597612918,535569.7966447425,8.215455728314988e-15,2.424079330293948
62000,2.2142857142865657,0.49052280642067486,164.30688523650332,557321.792928552,7.123745153378589e-15,2.2183421867263586
62500,2.2321428571436353,0.49061135508244186,164.82687710548942,573215.261697757,7.416229750948358e-15,2.1133477266852987
63000,2.2500000000007048,0.4907637248369161,165.19919543302885,581137.5068722096,7.532230362440789e-15,2.124463513884255
63500,2.2678571428577743,0.49099638212582597,165.5655637654943,583488.2324338485,7.219447839120603e-15,2.293630719581817
64000,2.285714285714844,0.4912650769568052,165.7574592518476,585901.1738319998,7.805415268073512e-15,2.5842064770541766
64500,2.3035714285719133,0.49148256886172853,165.80977713784574,590756.8084888032,8.258227945845003e-15,2.991741390590215
65000,2.321428571428983,0.4916134293947464,166.1261410482332,595856.5862662422,7.410975107724933e-15,3.2707185653155313
65500,2.3392857142860524,0.4917032018795727,166.86343645874652,597336.7452631715,7.738419099250979e-15,3.4498462855221654
66000,2.357142857143122,0.4918230860374601,167.71154323112455,590710.9694712141,8.067277727466936e-15,3.5061786777328163
66500,2.3750000000001914,0.49192205618165424,168.21209125808411,583686.7739381704,7.905248139620474e-15,3.439688029477513
67000,2.392857142857261,0.49199015466838286,168.23936062742692,584303.4624028689,7.5619016768524e-15,3.3349967826453963
67500,2.4107142857143304,0.49216129876383863,168.3130886433748,586663.7739785796,7.422429036717117e-15,3.2852911809206837
68000,2.4285714285714,0.49239578098028336,169.0486108047205,593450.0932360464,7.834281945270216e-15,3.34679935377838
68500,2.4464285714284695,0.4925308641648418,170.33133850493567,611038.8419491067,7.155090736907703e-15,3.5276781911881763
69000,2.464285714285539,0.49265703996190463,171.70866343366805,625469.2081061803,6.974284724505697e-15,3.7991626451091705
69500,2.4821428571426085,0.49293757067931915,173.07943093832293,626222.6222297226,7.625708886250105e-15,4.009499288919862
70000,2.499999999999678,0.49329234814903206,174.36003863825707,625228.7764575777,7.287149214289641e-15,3.748924872529447
70500,2.5178571428567476,0.4935995103197387,175.20376780501772,630258.4076764374,7.414165677537267e-15,3.5955039330330805
71000,2.535714285713817,0.4938859805760443,175.3917594190238,631359.4031391818,7.679064693668334e-15,3.494053767033421
71500,2.5535714285708866,0.49417826243027163,175.1997269383093,623736.0696511902,7.884277139660009e-15,3.4245709075105726
72000,2.571428571427956,0.4944515443140534,175.1920613230202,618631.2354569419,7.345136124009821e-15,3.3363563821310627
72500,2.5892857142850256,0.49470819461669935,175.72205678407545,625260.5168574412,7.734599683205935e-15,3.2221527468692024
73000,2.607142857142095,0.49494161574349405,176.7048807782581,640422.5751658496,7.647248259387413e-15,3.04555541404687
73500,2.6249999999991647,0.4951165472027858,177.7832445317072,655218.7078566938,7.045139309703643e-15,2.844731871726328
74000,2.642857142856234,0.4952065428672606,178.71756753609682,663850.1645557332,7.712930853037039e-15,2.6568149596269506
74500,2.6607142857133037,0.4952134167240011,179.2957919321728,663361.9035544398,7.676766203339461e-15,2.5222123551268347
75000,2.6785714285703732,0.4951984094823455,179.27107222281973,647381.5261970824,7.198528040575733e-15,2.4416098440810137
75500,2.6964285714274427,0.495266335061531,178.8698251275108,618261.6007286209,7.153348543229306e-15,2.4190962519969474
76000,2.7142857142845123,0.49544872083447467,178.63300156930143,597509.1947725074,7.174852583390623e-15,2.4623577968440573
76500,2.732142857141582,0.49565598075254447,178.89689568414053,600592.0537298905,7.728817759697843e-15,2.578515540179426
77000,2.7499999999986513,0.4958168171678944,179.72356357399298,617384.8168862092,7.855361444515405e-15,2.690671349181882
77500,2.767857142855721,0.4959599816330197,180.95935093182206,633445.6274262527,7.697638084437756e-15,2.575206068741514
78000,2.7857142857127903,0.4961256590762583,182.46815470878232,645473.2206150908,7.48746810417335e-15,2.523396741683932
78500,2.80357142856986,0.4963594164996603,184.29150072078522,649471.7712923932,7.548831034430431e-15,2.5535264941806117
79000,2.8214285714269294,0.49672270161010984,186.54540402919378,646128.9116458562,7.789795096121529e-15,2.696071535512986
79500,2.839285714283999,0.49720264307870077,189.2857844923427,647262.3990934977,7.484903382245227e-15,3.0088350860088
80000,2.8571428571410684,0.4976971890507125,192.29671027135115,655961.605865187,7.839690803988238e-15,3.191011083866364
80500,2.874999999998138,0.49813007516805563,195.16678076142327,662837.4272295659,7.836452663131902e-15,3.126466524558795
81000,2.8928571428552075,0.4985010376573714,197.81697856695672,669090.4340000239,7.37296394018882e-15,2.7979233517394118
81500,2.910714285712277,0.4988284319140468,200.51667982830986,685216.4437853906,7.66225025864625e-15,2.4826159810780304
82000,2.9285714285693465,0.49914589388592145,203.19042360139898,706104.0058817135,7.725009687363401e-15,2.273218739543078
82500,2.946428571426416,0.49949565569205445,205.34353719496642,716812.5269204217,7.379277784071918e-15,2.1740974549818186
83000,2.9642857142834855,0.49980227603637417,206.75855294341997,718022.3923815619,7.884999256537419e-15,2.175044003975052
83500,2.982142857140555,0.4999028289735908,207.68814175654398,720512.6154148274,8.227971582066332e-15,2.2682318361423284
84000,2.9999999999976246,0.4998104762883584,208.5030026615778,724762.895921411,7.611666341591424e-15,2.4586810887705477
84500,3.017857142854694,0.49970792839479505,209.53526075850715,727029.0933535874,8.08227680385781e-15,2.7654854869599825
85000,3.0357142857117636,0.4996964353804065,210.97154048542825,730932.4367563827,7.392055007584088e-15,3.1100943008414688
85500,3.053571428568833,0.4997952789415262,212.72400878462759,736959.963311269,7.607026911574002e-15,2.984377039249503
86000,3.0714285714259026,0.5000146905060243,214.67125758919536,742138.7588214694,7.706602446362776e-15,2.997039076317389
86500,3.089285714282972,0.5003077614371723,216.84202680700494,750698.9305522469,7.83751878872726e-15,3.1170451965831694
87000,3.1071428571400417,0.5005849415375943,219.11465642214597,765321.5757073124,8.003030023466694e-15,2.991757734441141
87500,3.124999999997111,0.500720357925508,221.2438160596647,787511.7678395067,7.682621587856307e-15,2.9303258936777183
88000,3.1428571428541807,0.5007219828654135,223.26175391909337,812645.7285114349,7.774339748410498e-15,2.925021463945705
88500,3.1607142857112502,0.500847839850007,225.36659696875557,819829.7370637126,7.863638102048712e-15,2.966681918822971
89000,3.1785714285683198,0.5011491865035509,227.72825844387393,814427.7130604174,7.794701852303217e-15,3.051294635794647
89500,3.1964285714253893,0.5014415801009329,230.4405318332228,826778.114195294,7.85524851053061e-15,3.1522357813121893
90000,3.214285714282459,0.5017740238909504,233.2023013237369,847741.5763669001,8.108587899745081e-15,2.8139401416098315
90500,3.2321428571395283,0.5021802286049545,235.40553933613467,856149.8466922152,7.915090566006877e-15,2.7020116242049874
91000,3.249999999996598,0.5025124307274491,236.63714429230794,860778.081398318,7.937234812927451e-15,2.763324366247851
91500,3.2678571428536674,0.5027353340529945,236.77730977350615,862393.2443210613,7.93453203679873e-15,2.504137483019003
92000,3.285714285710737,0.5028304017308092,236.0406796114629,853031.1048802854,7.416952214249292e-15,2.2697542693616866
92500,3.3035714285678064,0.5027873228125378,235.00056860449635,840351.5875899739,7.797186553512549e-15,2.202186324671182
93000,3.321428571424876,0.5027253270969849,234.02620289976147,829717.0276356242,8.452718961458934e-15,2.277930685309538
93500,3.3392857142819454,0.502639818252228,233.01275252824036,818278.0241019455,7.943942231345005e-15,2.4697907124022547
94000,3.357142857139015,0.5024116936192206,231.93063048526787,806539.1248708678,7.429837949764211e-15,2.7320603741791905
94500,3.3749999999960845,0.5021005913862143,231.0603559930098,797636.4955418734,8.303481548398812e-15,2.7436014375615767
95000,3.392857142853154,0.5018438600073043,230.714253879612,795475.48966262,8.082903051504233e-15,2.519844289805355
95500,3.4107142857102235,0.5016537714957466,231.03333846341332,803533.6114862286,8.36938500722429e-15,2.3859653292301526
96000,3.428571428567293,0.5015394645254059,231.88602731243304,819267.9463486108,7.959594702765778e-15,2.309612006825165
96500,3.4464285714243625,0.5015900632169812,232.89186345272103,829690.1611270236,8.332780533654719e-15,2.244872031538097
97000,3.464285714281432,0.5017583958218637,233.63151776520252,826988.6102571312,7.854606617353614e-15,2.175236131559297
97500,3.4821428571385016,0.5018554901715856,233.84352781324762,824721.849509716,7.902799000949086e-15,2.149814570936938
98000,3.499999999995571,0.5019234130978847,233.5176190147294,831875.5059031665,8.57653806155314e-15,2.1919324569363483
98500,3.5178571428526406,0.5020746041621006,232.8049174141574,838590.6955636888,7.806974655051375e-15,2.320321750407422
99000,3.53571428570971,0.5021110413507699,232.0733641885733,848217.3335357896,7.905188935302014e-15,2.50272217284807
99500,3.5535714285667797,0.5019848728999371,231.98719831530687,870193.8796029782,7.946086275930975e-15,2.670140281284668
100000,3.571428571423849,0.5019262545228045,232.89071891316166,890725.5338016348,8.360544739666356e-15,2.757828042077256
100500,3.5892857142809187,0.5018994611185768,234.32117600406684,892804.2069721359,7.858295922486317e-15,2.7658459730820115
101000,3.607142857137988,0.5017525721609444,235.48499969465763,881902.1519492932,8.123499309842597e-15,2.7438518883828698
101500,3.6249999999950577,0.5015228877606595,236.18392897401412,878424.9847868495,8.525139707831035e-15,2.7324821204881156
102000,3.6428571428521273,0.5013842026184625,237.01631338570007,877711.4869716172,7.994151586477633e-15,2.7592859383618378
102500,3.6607142857091968,0.5014509052478958,238.39072081699797,860040.9671515406,8.234321768878394e-15,2.8765442892999715
103000,3.6785714285662663,0.5015021778877543,239.92690746402405,853762.6090590479,8.013599473647244e-15,3.0785637178773535
103500,3.696428571423336,0.5014164316383165,241.02275524669332,877047.215135202,8.614492583624544e-15,3.34700695709328
104000,3.7142857142804053,0.5013951532507086,241.50607778113817,884050.4205402348,8.586998802885289e-15,3.3489451762174482
104500,3.732142857137475,0.5013267048556656,241.69314789000123,869329.7802364319,7.568424852236592e-15,3.1593590670474234
