step,time,KE,enstrophy,palinstrophy,div_L2,vort_norm
500,0.01785714285714295,0.48076431076762044,50.53768533981452,116681.1978604172,4.242051898909202e-15,0.9999804054843604
1000,0.03571428571428533,0.48075807292649675,50.495717018641486,116472.82948887761,4.106326568918385e-15,0.9999693184189675
1500,0.05357142857142771,0.4807524242507537,50.45618702080773,116270.86981650729,4.2686308319281275e-15,0.9999923906006578
2000,0.07142857142857181,0.480747803030914,50.423423879140906,116079.59384896934,4.088551135375247e-15,1.0000687943948572
2500,0.08928571428571766,0.48074433349019874,50.39981236064991,115918.9045886722,4.204866638447326e-15,1.0002054920139845
3000,0.1071428571428635,0.48074190171371833,50.38566571288556,115811.51446660374,4.085345390100832e-15,1.0004221345749396
3500,0.12500000000000935,0.48074028384449274,50.37974436140085,115761.63329425312,4.050685886109404e-15,1.0007696895305402
4000,0.14285714285714826,0.48073923748448966,50.38022419050877,115754.17747122346,4.339337049924593e-15,1.0012137282881062
4500,0.16071428571428717,0.48073852639216536,50.38548347884451,115772.58667906892,4.4946728058028636e-15,1.0017550308437604
5000,0.17857142857142608,0.48073793278572496,50.39433138706628,115808.40171221839,4.24421777961071e-15,1.0023902117589243
5500,0.19642857142856499,0.48073728062882537,50.40595394871869,115856.8109542311,4.207127710917232e-15,1.0031146202312482
6000,0.2142857142857039,0.48073642920986404,50.419863404627215,115913.11983379448,4.5438009521602254e-15,1.0039285219185623
6500,0.2321428571428428,0.48073523972651616,50.43583733815763,115974.22130454541,4.532854794787952e-15,1.0048425649348127
7000,0.2499999999999817,0.4807335630358991,50.45387533995027,116039.61749106916,3.956466581180957e-15,1.0058804027695276
7500,0.26785714285713447,0.4807312537284098,50.47425738987085,116112.2113612043,4.571219642559784e-15,1.0070804606035229
8000,0.28571428571428725,0.480728184556396,50.497626609670604,116199.22432973798,4.339630668598061e-15,1.0084985132556021
8500,0.30357142857144004,0.4807242504492497,50.52497128798502,116310.17546083443,4.341935134590197e-15,1.0102095977091878
9000,0.3214285714285928,0.48071935507188807,50.55751192111514,116453.46525423767,4.458861380696258e-15,1.0123073854012459
9500,0.3392857142857456,0.48071337759324234,50.59657141521432,116635.67296608335,4.384626296321015e-15,1.0149012784413318
10000,0.3571428571428984,0.4807061379338914,50.64348476480906,116862.59168263731,4.606253066037555e-15,1.0181127382844937
10500,0.3750000000000512,0.48069737916311,50.699582424893805,117139.06214792142,4.2804278383738094e-15,1.0220722581464166
11000,0.39285714285720397,0.4806867657945374,50.76625843361416,117468.24626431828,4.842238331140184e-15,1.0269181916109464
11500,0.41071428571435675,0.4806738871376637,50.84508645527442,117852.28130036531,4.510407673033794e-15,1.032798367561655
12000,0.42857142857150954,0.4806582591164752,50.9379194932894,118294.05646814853,4.450034161038362e-15,1.0398749376664893
12500,0.4464285714286623,0.48063932264726905,51.04693785869572,118798.77195433034,4.695122837166678e-15,1.0483327273876801
13000,0.4642857142858151,0.4806164352332518,51.17464576439717,119374.8609651769,4.762612376136096e-15,1.0583912255101346
13500,0.4821428571429679,0.4805888497425929,51.32381058133425,120034.28766027928,4.364966731162728e-15,1.0703195035921942
14000,0.5000000000001207,0.4805556773086689,51.497324161275166,120791.82446565645,4.928129188746452e-15,1.0844522514209733
14500,0.5178571428572457,0.48051583591733205,51.697978635291456,121663.22491359127,4.854588732635405e-15,1.1012047540724008
15000,0.5357142857143707,0.480467987634462,51.92816388116288,122662.82620114602,4.730684187516633e-15,1.1210849250465167
15500,0.5535714285714958,0.4804104696389381,52.18949350217258,123800.74546685335,4.794161755497502e-15,1.1447006859275142
16000,0.5714285714286208,0.48034122787826494,52.48237222751746,125079.44372206842,4.952008484620872e-15,1.1727609002133694
16500,0.5892857142857458,0.480257763140146,52.80553225736418,126490.10206668772,4.995370128173267e-15,1.2060679984844247
17000,0.6071428571428709,0.48015709974025744,53.15557246913387,128009.81329724687,5.4857678747433484e-15,1.2455002142978127
17500,0.6249999999999959,0.4800357896222722,53.526539181759084,129600.17761097138,5.465288884876235e-15,1.2919805415559142
18000,0.6428571428571209,0.47988996546358453,53.90960304433521,131207.47575817644,5.393533350323189e-15,1.3464280682117533
18500,0.660714285714246,0.47971545288595996,54.292905792843946,132764.70510157326,5.077918579484879e-15,1.409685634351987
19000,0.678571428571371,0.4795079472634384,54.661662974379766,134195.7234745091,5.409755106987478e-15,1.4824165053572875
19500,0.696428571428496,0.47926325621373755,54.99861087131828,135421.33476482754,5.535857272665662e-15,1.5649632960660305
20000,0.714285714285621,0.478977602155945,55.284865263520445,136366.81765125488,5.5439856192819776e-15,1.657167005706034
