step,time,KE,enstrophy,palinstrophy,div_L2,vort_norm
500,0.01785714285714295,0.48220078256893883,37.9257015601728,99456.3589368884,1.0412161500138416e-14,0.9998905360372347
1000,0.03571428571428533,0.48220011457167206,37.92157988458159,99776.08748602399,1.0089719971868476e-14,0.999639243728612
1500,0.05357142857142771,0.4821994638973976,37.91624974485067,100234.6447720814,9.988468557562052e-15,0.999429105826238
2000,0.07142857142857181,0.48219882694613025,37.90945707891396,100683.80093575925,1.0022141717790215e-14,0.9994535313993138
2500,0.08928571428571766,0.4821982424327751,37.902000754323836,100921.26934262853,1.0802499620704827e-14,0.999865826031117
3000,0.1071428571428635,0.48219776009398824,37.89579438678648,100857.48645434334,1.031064132911132e-14,1.0008121831951622
3500,0.12500000000000935,0.4821972826346662,37.892783121149506,100676.56883401176,1.0466966066740582e-14,1.002446209214285
4000,0.14285714285714826,0.48219655040273424,37.89388092471133,100695.14079046118,1.0283816877630931e-14,1.0050558864968238
4500,0.16071428571428717,0.4821954644333778,37.89961178377513,101014.81833918073,1.058817794346229e-14,1.0089448178063871
5000,0.17857142857142608,0.4821942509005285,37.91158856789289,101468.15568987328,1.0575108965585799e-14,1.0145671193270644
5500,0.19642857142856499,0.48219308986826837,37.93273055179364,101971.81170351099,1.0358090095417254e-14,1.02250954443835
6000,0.2142857142857039,0.4821918639065622,37.966150903687556,102710.22623099398,1.0667320843528529e-14,1.0334828356933505
6500,0.2321428571428428,0.48219045486842205,38.01427776898295,103893.16006631556,1.1003225392639644e-14,1.0483474632746224
7000,0.2499999999999817,0.4821889021412623,38.078930407670995,105597.37842072631,1.1029273403035962e-14,1.068217595892264
7500,0.26785714285713447,0.48218717471618344,38.161561947931474,107879.12121855054,1.1453228632839628e-14,1.094629351735176
8000,0.28571428571428725,0.4821851536917672,38.26251316103747,110755.6112163896,1.0776097623237333e-14,1.1296736629568578
8500,0.30357142857144004,0.4821827435561129,38.37878435994429,114059.36127887967,1.0906522518918829e-14,1.1759169757508678
9000,0.3214285714285928,0.482179677518106,38.50089126289733,117464.15410262081,1.107650593283787e-14,1.2362084641389661
9500,0.3392857142857456,0.48217534593987016,38.61046599935324,120550.8261300113,1.0822253956313963e-14,1.3112720263972721
10000,0.3571428571428984,0.4821688781847709,38.68058729288961,122772.44555565594,1.1061976167434752e-14,1.3996278131824245
10500,0.3750000000000512,0.4821591610751219,38.68050713192105,123547.48465209916,1.1325275556505043e-14,1.494402042229412
11000,0.39285714285720397,0.4821448527718572,38.58595424291943,122556.18199300647,1.1267938636344167e-14,1.5820891571000373
11500,0.41071428571435675,0.48212467523053354,38.392644513783914,120036.77355957901,1.1698998641701648e-14,1.648467574609694
12000,0.42857142857150954,0.482097936145624,38.12417675100303,116889.50314027027,1.1117250751506935e-14,1.6885480965511397
12500,0.4464285714286623,0.48206522724068634,37.825639429637924,114270.47301717332,1.197518257824495e-14,1.7119213761501144
13000,0.4642857142858151,0.4820289497769292,37.54481694861356,112669.0948793201,1.2603576140277068e-14,1.735534832649945
13500,0.4821428571429679,0.4819927076958683,37.312711147378614,111503.2925412149,1.1920017551356102e-14,1.7709505090891318
14000,0.5000000000001207,0.48195945469444706,37.134866058408704,109894.14853521559,1.2342491471996956e-14,1.8170833541541225
14500,0.5178571428572457,0.48192988918329516,36.9959444757892,107623.80869919017,1.2340308395468151e-14,1.8522465660003662
15000,0.5357142857143707,0.4819025459614829,36.87033763690649,105145.30011647558,1.2736616815333536e-14,1.8647979997761055
15500,0.5535714285714958,0.48187535754231914,36.731981165662646,102884.9577817065,1.1771324533740186e-14,1.8738167569062705
16000,0.5714285714286208,0.4818471949586097,36.56307310736937,100790.16017972521,1.250883577994918e-14,1.8255830251615506
16500,0.5892857142857458,0.48181843646485867,36.36097200756831,98246.5883914152,1.2231324411688666e-14,1.7510851480467884
17000,0.6071428571428709,0.48179038110607253,36.13845529775371,94590.02713110112,1.1808529491835582e-14,1.6687741021645366
